"CODE" "PLOT" "BLOCK" "TREAT" "SPEC" "SP_CODE" "LIFE.FORM" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT"
"736" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Dioscorea sp. 1" "dioss1" "vine" NA NA 0.00814 NA 0.00814
"737" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Cordyline terminalis" "cordte" "herb" NA NA 0.03903 14.87 14.90903
"738" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Ageratum conyzoides" "agerco" "herb" NA NA 0.235 NA 0.235
"739" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Euphorbia hirta" "euphhi" "herb" NA NA 0.01567 NA 0.01567
"740" "w1g1p2" "P2" "WG1" "WEEVIL125" "Trema orientalis" "tremor" "tree" 4.81 2.4 2.2 1.58 3.78
"742" "w1g1p2" "P2" "WG1" "WEEVIL125" "Urena lobata" "urenlo" "herb" NA NA 0.405 1.11 1.515
"743" "w1g1p2" "P2" "WG1" "WEEVIL125" "Paspalum conjugatum" "paspco" "grass" NA NA 1.485 NA 1.485
"744" "w1g1p2" "P2" "WG1" "WEEVIL125" "Breynia cernua" "breyce" "shrub" NA NA 0.05343 0.0421 0.09553
"745" "w1g1p2" "P2" "WG1" "WEEVIL125" "Euphorbia geniculata" "euphge" "herb" NA NA 0.12942 NA 0.12942
"746" "w1g1p2" "P2" "WG1" "WEEVIL125" "Sorghum propinquum" "sorgpr" "grass" NA NA 0.445 NA 0.445
"747" "w1g1p2" "P2" "WG1" "WEEVIL125" "Ageratum conyzoides" "agerco" "herb" NA NA 0.235 NA 0.235
"748" "w1g1p2" "P2" "WG1" "WEEVIL125" "Paspalum sp. 1" "pasps1" "grass" NA NA 0.94 NA 0.94
"749" "w1g1p2" "P2" "WG1" "WEEVIL125" "Trichospermum pleiostigma" "tricpl" "tree" NA NA 0.04753 0.3293 0.37683
"750" "w1g1p3" "P3" "WG1" "CONTROL" "Trema orientalis" "tremor" "tree" 23.15 2.94 5.745 14.34 20.085
"751" "w1g1p3" "P3" "WG1" "CONTROL" "Trichospermum pleiostigma" "tricpl" "tree" 6.61 3 0.5 1.63 2.13
"752" "w1g1p3" "P3" "WG1" "CONTROL" "Macaranga quadriglandulosa" "macaqu" "tree" 5.31 3.4 0.71 2.7 3.41
"753" "w1g1p3" "P3" "WG1" "CONTROL" "Piptrus argenteus" "piptar" "tree" 4.52 2.7 1.61 0.28 1.89
"754" "w1g1p3" "P3" "WG1" "CONTROL" "Ficus congesta" "ficuco" "tree" NA NA 0.0658 0.09186 0.15766
"755" "w1g1p3" "P3" "WG1" "CONTROL" "Sorghum propinquum" "sorgpr" "grass" NA NA 1.295 NA 1.295
"756" "w1g1p3" "P3" "WG1" "CONTROL" "Ageratum conyzoides" "agerco" "herb" NA NA 2.435 NA 2.435
"757" "w1g1p3" "P3" "WG1" "CONTROL" "Paspalum conjugatum" "paspco" "grass" NA NA 2.055 NA 2.055
"758" "w1g1p3" "P3" "WG1" "CONTROL" "Urena lobata" "urenlo" "herb" NA NA 0.05564 0.415 0.47064
"759" "w1g1p3" "P3" "WG1" "CONTROL" "Piper aduncum" "pipead" "tree" NA NA 0.09653 0.01237 0.1089
"760" "w1g1p3" "P3" "WG1" "CONTROL" "Paspalum sp. 1" "pasps1" "grass" NA NA 1.195 NA 1.195
"761" "w1g1p3" "P3" "WG1" "CONTROL" "Mikania micrantha" "mikami" "vine" NA NA 0.42 NA 0.42
"762" "w1g1p3" "P3" "WG1" "CONTROL" "Synedrella nodiflora" "syneno" "herb" NA NA 0.255 NA 0.255
"763" "w1g1p3" "P3" "WG1" "CONTROL" "Calopogonium mucunoides" "calomu" "vine" NA NA 1.19 NA 1.19
"764" "w1g1p3" "P3" "WG1" "CONTROL" "Breynia cernua" "breyce" "shrub" NA NA 2.27 2.45 4.72
"765" "w1g1p3" "P3" "WG1" "CONTROL" "Lepistemon urceolatus" "lepiur" "vine" NA NA 0.09577 NA 0.09577
"766" "w1g1p3" "P3" "WG1" "CONTROL" "Amomum maximum" "amomma" "herb" NA NA 0.03521 NA 0.03521
"767" "w1g1p3" "P3" "WG1" "CONTROL" "Piper umbellatum" "pipeum" "tree" NA NA 0.06026 NA 0.06026
"768" "w1g1p3" "P3" "WG1" "CONTROL" "Ipomea sp. 1" "ipoms1" "vine" NA NA 0.01823 NA 0.01823
"769" "w1g1p3" "P3" "WG1" "CONTROL" "Marsdenia velutina" "marsve" "vine" NA NA 0.01202 NA 0.01202
"770" "w1g1p4" "P4" "WG1" "PREDATOR" "Marsdenia velutina" "marsve" "vine" NA NA 0.01373 NA 0.01373
"771" "w1g1p4" "P4" "WG1" "PREDATOR" "Piptrus argenteus" "piptar" "tree" 15.21 4.6 2.6 7.005 9.605
"772" "w1g1p4" "P4" "WG1" "PREDATOR" "Paspalum sp. 1" "pasps1" "grass" NA NA 1.57 NA 1.57
"773" "w1g1p4" "P4" "WG1" "PREDATOR" "Lepistemon urceolatus" "lepiur" "vine" NA NA 0.235 NA 0.235
"774" "w1g1p4" "P4" "WG1" "PREDATOR" "Hyptis capitata" "hyptca" "herb" NA NA 0.205 NA 0.205
"775" "w1g1p4" "P4" "WG1" "PREDATOR" "Synedrella nodiflora" "syneno" "herb" NA NA 4.21 NA 4.21
"776" "w1g1p4" "P4" "WG1" "PREDATOR" "Commersonia bartramia" "commba" "tree" 35.04 6.13 2.865 13.475 16.34
"777" "w1g1p4" "P4" "WG1" "PREDATOR" "Trema orientalis" "tremor" "tree" 32.2 2.89 3.415 10.28 13.695
"778" "w1g1p4" "P4" "WG1" "PREDATOR" "Cordyline terminalis" "cordte" "herb" NA NA 1.295 1.195 2.49
"779" "w1g1p4" "P4" "WG1" "PREDATOR" "Imperata cyllindrica" "impecy" "grass" NA NA 3.595 NA 3.595
"780" "w1g1p4" "P4" "WG1" "PREDATOR" "Urena lobata" "urenlo" "herb" NA NA 0.2 NA 0.2
"781" "w1g1p4" "P4" "WG1" "PREDATOR" "Paspalum sp. 2" "pasps2" "grass" NA NA 0.1029 NA 0.1029
"782" "w1g1p4" "P4" "WG1" "PREDATOR" "Ageratum conyzoides" "agerco" "herb" NA NA 0.0746 NA 0.0746
"783" "w1g1p4" "P4" "WG1" "PREDATOR" "Sorghum propinquum" "sorgpr" "grass" NA NA 0.03061 NA 0.03061
"784" "w1g1p5" "P5" "WG1" "WEEVIL25" "Trema orientalis" "tremor" "tree" 30.04 3.1 5.5 11.97 17.47
"785" "w1g1p5" "P5" "WG1" "WEEVIL25" "Ficus hispidoides" "ficuhi" "tree" 28.73 3.11 2.825 8.39 11.215
"786" "w1g1p5" "P5" "WG1" "WEEVIL25" "Piptrus argenteus" "piptar" "tree" 15.9 4 2.38 9.105 11.485
"787" "w1g1p5" "P5" "WG1" "WEEVIL25" "Melanolepis multiglandulosa" "melamu" "tree" 8.55 4.6 1.12 2.65 3.77
"788" "w1g1p5" "P5" "WG1" "WEEVIL25" "Hyptis capitata" "hyptca" "herb" NA NA 0.855 NA 0.855
"789" "w1g1p5" "P5" "WG1" "WEEVIL25" "Ageratum conyzoides" "agerco" "herb" NA NA 2.38 NA 2.38
"790" "w1g1p5" "P5" "WG1" "WEEVIL25" "Pisonia longirostris" "pisolo" "tree" NA NA 0.10542 0.05696 0.16238
"791" "w1g1p5" "P5" "WG1" "WEEVIL25" "Lepistemon urceolatus" "lepiur" "vine" NA NA 0.09085 NA 0.09085
"792" "w1g1p5" "P5" "WG1" "WEEVIL25" "Euphorbia geniculata" "euphge" "herb" NA NA 0.08641 NA 0.08641
"793" "w1g1p5" "P5" "WG1" "WEEVIL25" "Cyperus bifax" "cyphbi" "sedge" NA NA 0.42 NA 0.42
"794" "w1g1p5" "P5" "WG1" "WEEVIL25" "Commersonia bartramia" "commba" "tree" NA NA 0.03323 0.15523 0.18846
"795" "w1g1p5" "P5" "WG1" "WEEVIL25" "Cordyline terminalis" "cordte" "herb" NA NA 0.04245 0.03695 0.0794
"796" "w1g1p5" "P5" "WG1" "WEEVIL25" "Stachytarpheta urticaefolia" "stacur" "herb" NA NA 0.76 0.675 1.435
"797" "w1g1p5" "P5" "WG1" "WEEVIL25" "Urena lobata" "urenlo" "herb" NA NA 0.06911 0.2 0.26911
"798" "w1g1p5" "P5" "WG1" "WEEVIL25" "Piper umbellatum" "pipeum" "tree" NA NA 0.05854 NA 0.05854
"799" "w1g1p5" "P5" "WG1" "WEEVIL25" "Trichospermum pleiostigma" "tricpl" "tree" NA NA 0.05443 0.0859 0.14033
"800" "w1g1p5" "P5" "WG1" "WEEVIL25" "Paspalum conjugatum" "paspco" "grass" NA NA 0.1105 NA 0.1105
"801" "w1g1p5" "P5" "WG1" "WEEVIL25" "Paspalum sp. 1" "pasps1" "grass" NA NA 0.07154 NA 0.07154
"802" "w1g1p5" "P5" "WG1" "WEEVIL25" "Ficus congesta" "ficuco" "tree" 0.95 2.3 0.06512 0.21 0.27512
"803" "w1g1p5" "P5" "WG1" "WEEVIL25" "Euphorbia hirta" "euphhi" "herb" NA NA 0.01682 NA 0.01682
"804" "w1g1p5" "P5" "WG1" "WEEVIL25" "Solanum sp. 1" "solas1" "herb" NA NA 0.00421 NA 0.00421
"805" "w1g1p5" "P5" "WG1" "WEEVIL25" "Imperata cyllindrica" "impecy" "grass" NA NA 0.02269 NA 0.02269
"806" "w1g1p5" "P5" "WG1" "WEEVIL25" "Marsdenia velutina" "marsve" "vine" NA NA 0.01511 NA 0.01511
"807" "w1g1p5" "P5" "WG1" "WEEVIL25" "Tournefortia sarmentosa" "toursa" "shrub" NA NA 0.00812 0.03299 0.04111
"808" "w1g1p5" "P5" "WG1" "WEEVIL25" "Dioscorea sp. 1" "dioss1" "vine" NA NA 0.01307 NA 0.01307
"809" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Piper aduncum" "pipead" "tree" NA NA 0.645 0.785 1.43
"810" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Trema orientalis" "tremor" "tree" NA NA 0.92 2.39 3.31
"811" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Ficus variegata" "ficuva" "tree" NA NA 0.02808 0.215 0.24308
"812" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Urena lobata" "urenlo" "herb" NA NA 0.215 NA 0.215
"813" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Sorghum propinquum" "sorgpr" "grass" NA NA 0.65 NA 0.65
"814" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Calopogonium mucunoides" "calomu" "vine" NA NA 18.34 NA 18.34
"815" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Ageratum conyzoides" "agerco" "herb" NA NA 1.175 NA 1.175
"816" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Cordyline terminalis" "cordte" "herb" NA NA 0.01774 NA 0.01774
"817" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Euphorbia hirta" "euphhi" "herb" NA NA 0.03562 NA 0.03562
"818" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Dioscorea sp. 1" "dioss1" "vine" NA NA 0.01265 NA 0.01265
"819" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Hyptis capitata" "hyptca" "herb" NA NA 0.01855 NA 0.01855
"820" "w1g1p6" "P6" "WG1" "INSECTICIDE" "Solanum sp. 1" "solas1" "herb" NA NA 0.00491 NA 0.00491
"821" "w1g2p1" "P1" "WG2" "WEEVIL125" "Melanolepis multiglandulosa" "melamu" "tree" 53.74 3.58 10.87 21.145 32.015
"822" "w1g2p1" "P1" "WG2" "WEEVIL125" "Cordyline terminalis" "cordte" "herb" NA NA 1.125 1.255 2.38
"823" "w1g2p1" "P1" "WG2" "WEEVIL125" "Mikania micrantha" "mikami" "vine" NA NA 2.38 NA 2.38
"824" "w1g2p1" "P1" "WG2" "WEEVIL125" "Piper umbellatum" "pipeum" "tree" NA NA 0.29 0.32 0.61
"825" "w1g2p1" "P1" "WG2" "WEEVIL125" "Piptrus argenteus" "piptar" "tree" NA NA 0.10037 0.13743 0.2378
"826" "w1g2p1" "P1" "WG2" "WEEVIL125" "Synedrella nodiflora" "syneno" "herb" NA NA 0.335 NA 0.335
"827" "w1g2p1" "P1" "WG2" "WEEVIL125" "Paspalum sp. 1" "pasps1" "grass" NA NA 2.03 NA 2.03
"828" "w1g2p1" "P1" "WG2" "WEEVIL125" "Paspalum conjugatum" "paspco" "grass" NA NA 0.32 NA 0.32
"829" "w1g2p1" "P1" "WG2" "WEEVIL125" "Ageratum conyzoides" "agerco" "herb" NA NA 0.03017 NA 0.03017
"830" "w1g2p1" "P1" "WG2" "WEEVIL125" "Phylacium bracteosum" "phylbr" "vine" NA NA 0.09266 NA 0.09266
"831" "w1g2p1" "P1" "WG2" "WEEVIL125" "Davallia denticulata" "davade" "fern" NA NA 0.11178 NA 0.11178
"832" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Trema orientalis" "tremor" "tree" 45.36 6.4 7.815 16.66 24.475
"833" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Piptrus argenteus" "piptar" "tree" NA NA 0.445 0.295 0.74
"834" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Mikania micrantha" "mikami" "vine" NA NA 10.755 NA 10.755
"835" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Piper umbellatum" "pipeum" "tree" NA NA 0.295 0.22 0.515
"836" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Crassocephalum crepidioides" "crascr" "herb" NA NA 0.02554 NA 0.02554
"837" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Euphorbia hirta" "euphhi" "herb" NA NA 0.05438 NA 0.05438
"838" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Sphaerostephanos unitus" "sphaun" "fern" NA NA 0.01779 NA 0.01779
"839" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Ageratum conyzoides" "agerco" "herb" NA NA 0.04753 NA 0.04753
"840" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Phylacium bracteosum" "phylbr" "vine" NA NA 0.10112 NA 0.10112
"841" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Lepistemon urceolatus" "lepiur" "vine" NA NA 0.04674 NA 0.04674
"842" "w1g2p2" "P2" "WG2" "FUNGICIDE" "Pueraria triloba" "puertr" "vine" NA NA 0.09547 NA 0.09547
"843" "w1g2p3" "P3" "WG2" "PREDATOR" "Trema orientalis" "tremor" "tree" 26.42 5 5.68 7.295 12.975
"844" "w1g2p3" "P3" "WG2" "PREDATOR" "Imperata cyllindrica" "impecy" "grass" NA NA 7.265 NA 7.265
"845" "w1g2p3" "P3" "WG2" "PREDATOR" "Piper umbellatum" "pipeum" "tree" NA NA 0.86 0.835 1.695
"846" "w1g2p3" "P3" "WG2" "PREDATOR" "Mikania micrantha" "mikami" "vine" NA NA 0.585 NA 0.585
"847" "w1g2p3" "P3" "WG2" "PREDATOR" "Ageratum conyzoides" "agerco" "herb" NA NA 0.57 NA 0.57
"848" "w1g2p3" "P3" "WG2" "PREDATOR" "Euphorbia hirta" "euphhi" "herb" NA NA 0.07417 NA 0.07417
"849" "w1g2p3" "P3" "WG2" "PREDATOR" "Piptrus argenteus" "piptar" "tree" NA NA 0.1388 NA 0.1388
"850" "w1g2p3" "P3" "WG2" "PREDATOR" "Crassocephalum crepidioides" "crascr" "herb" NA NA 0.01637 NA 0.01637
"851" "w1g2p3" "P3" "WG2" "PREDATOR" "Piper aduncum" "pipead" "tree" NA NA 0.04662 NA 0.04662
"852" "w1g2p4" "P4" "WG2" "WEEVIL25" "Piptrus argenteus" "piptar" "tree" 67.81 2.93 18.05 30.965 49.015
"853" "w1g2p4" "P4" "WG2" "WEEVIL25" "Synedrella nodiflora" "syneno" "herb" NA NA 0.69 NA 0.69
"854" "w1g2p4" "P4" "WG2" "WEEVIL25" "Paspalum conjugatum" "paspco" "grass" NA NA 0.09707 NA 0.09707
"855" "w1g2p4" "P4" "WG2" "WEEVIL25" "Artocarpus lakoocha" "artola" "tree" NA NA 0.08146 NA 0.08146
"856" "w1g2p4" "P4" "WG2" "WEEVIL25" "Phylacium bracteosum" "phylbr" "vine" NA NA 0.05595 NA 0.05595
"857" "w1g2p4" "P4" "WG2" "WEEVIL25" "Ageratum conyzoides" "agerco" "herb" NA NA 0.1615 NA 0.1615
"858" "w1g2p4" "P4" "WG2" "WEEVIL25" "Piper umbellatum" "pipeum" "tree" NA NA 0.01117 NA 0.01117
"859" "w1g2p4" "P4" "WG2" "WEEVIL25" "Piper aduncum" "pipead" "tree" NA NA 0.00564 NA 0.00564
"860" "w1g2p4" "P4" "WG2" "WEEVIL25" "Crassocephalum crepidioides" "crascr" "herb" NA NA 0.15726 NA 0.15726
"861" "w1g2p4" "P4" "WG2" "WEEVIL25" "Dichapetalum papuanum" "dichpa" "vine" NA NA 0.0327 NA 0.0327
"862" "w1g2p4" "P4" "WG2" "WEEVIL25" "Paspalum sp. 1" "pasps1" "grass" NA NA 0.04248 NA 0.04248
"863" "w1g2p4" "P4" "WG2" "WEEVIL25" "Euphorbia hirta" "euphhi" "herb" NA NA 0.02064 NA 0.02064
"864" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Piptrus argenteus" "piptar" "tree" 82.75 4.16 18.615 39.13 57.745
"865" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Melanolepis multiglandulosa" "melamu" "tree" 6.16 2.9 1.175 4.38 5.555
"866" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Mikania micrantha" "mikami" "vine" NA NA 1.99 NA 1.99
"867" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Paspalum conjugatum" "paspco" "grass" NA NA 9.005 NA 9.005
"868" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Phylacium bracteosum" "phylbr" "vine" NA NA 0.485 NA 0.485
"869" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Paspalum sp. 1" "pasps1" "grass" NA NA 0.09568 NA 0.09568
"870" "w1g2p5" "P5" "WG2" "INSECTICIDE" "Dioscorea sp. 1" "dioss1" "vine" NA NA 0.02548 NA 0.02548
"871" "w1g2p6" "P6" "WG2" "CONTROL" "Melanolepis multiglandulosa" "melamu" "tree" 106.96 4.6 17.44 42.37 59.81
"872" "w1g2p6" "P6" "WG2" "CONTROL" "Piptrus argenteus" "piptar" "tree" 7.55 4.7 2.575 6.04 8.615
"873" "w1g2p6" "P6" "WG2" "CONTROL" "Macaranga tanarius" "macata" "tree" 3.8 3.5 0.478 0.61 1.088
"874" "w1g2p6" "P6" "WG2" "CONTROL" "Cordyline terminalis" "cordte" "herb" 9.92 2.25 1.225 2.43 3.655
"875" "w1g2p6" "P6" "WG2" "CONTROL" "Vitex coffasus" "viteco" "tree" 2.27 2.7 0.36 0.75 1.11
"876" "w1g2p6" "P6" "WG2" "CONTROL" "Mikania micrantha" "mikami" "vine" NA NA 3.835 NA 3.835
"877" "w1g2p6" "P6" "WG2" "CONTROL" "Synedrella nodiflora" "syneno" "herb" NA NA 0.655 NA 0.655
"878" "w1g2p6" "P6" "WG2" "CONTROL" "Piper umbellatum" "pipeum" "tree" NA NA 0.385 0.22 0.605
"879" "w1g2p6" "P6" "WG2" "CONTROL" "Ageratum conyzoides" "agerco" "herb" NA NA 0.415 NA 0.415
"880" "w1g2p6" "P6" "WG2" "CONTROL" "Hyptis capitata" "hyptca" "herb" NA NA 0.475 NA 0.475
"881" "w1g2p6" "P6" "WG2" "CONTROL" "Dioscorea sp. 1" "dioss1" "vine" NA NA 0.245 NA 0.245
"882" "w1g2p6" "P6" "WG2" "CONTROL" "Piper aduncum" "pipead" "tree" NA NA 0.02333 NA 0.02333
"883" "w1g3p1" "P1" "WG3" "WEEVIL25" "Piptrus argenteus" "piptar" "tree" 102.98 3.46 11.68 50.87 62.55
"884" "w1g3p1" "P1" "WG3" "WEEVIL25" "Melanolepis multiglandulosa" "melamu" "tree" 30.85 4.31 2.515 8.535 11.05
"885" "w1g3p1" "P1" "WG3" "WEEVIL25" "Mikania micrantha" "mikami" "vine" NA NA 3.425 NA 3.425
"886" "w1g3p1" "P1" "WG3" "WEEVIL25" "Stachytarpheta urticaefolia" "stacur" "herb" NA NA 5.48 3.165 8.645
"887" "w1g3p1" "P1" "WG3" "WEEVIL25" "Synedrella nodiflora" "syneno" "herb" NA NA 3.36 NA 3.36
"888" "w1g3p1" "P1" "WG3" "WEEVIL25" "Ageratum conyzoides" "agerco" "herb" NA NA 0.28 NA 0.28
"889" "w1g3p1" "P1" "WG3" "WEEVIL25" "Piper aduncum" "pipead" "tree" NA NA 0.275 NA 0.275
"890" "w1g3p1" "P1" "WG3" "WEEVIL25" "Faradaya splendida" "farasp" "vine" NA NA 0.41 NA 0.41
"891" "w1g3p1" "P1" "WG3" "WEEVIL25" "Imperata cyllindrica" "impecy" "grass" NA NA 0.04899 NA 0.04899
"892" "w1g3p1" "P1" "WG3" "WEEVIL25" "Macaranga bifoveata" "macabi" "tree" NA NA 0.03178 0.02902 0.0608
"893" "w1g3p1" "P1" "WG3" "WEEVIL25" "Ficus pachyrrhachis" "ficupa" "tree" NA NA 0.09077 0.17228 0.26305
"894" "w1g3p1" "P1" "WG3" "WEEVIL25" "Ichnanthus vicinus" "ichnvi" "herb" NA NA 0.00791 NA 0.00791
"895" "w1g3p1" "P1" "WG3" "WEEVIL25" "Macaranga tanarius" "macata" "tree" NA NA 0.0113 NA 0.0113
"896" "w1g3p1" "P1" "WG3" "WEEVIL25" "Ficus hispidoides" "ficuhi" "tree" NA NA 0.00659 0.00839 0.01498
"897" "w1g3p1" "P1" "WG3" "WEEVIL25" "Sida rhombifolia" "sidarh" "herb" NA NA 0.01317 0.01151 0.02468
"898" "w1g3p1" "P1" "WG3" "WEEVIL25" "Hornstedtia lycostoma" "hornly" "herb" NA NA 0.01916 NA 0.01916
"899" "w1g3p1" "P1" "WG3" "WEEVIL25" "Dioscorea sp. 1" "dioss1" "vine" NA NA 0.00218 NA 0.00218
"900" "w1g3p1" "P1" "WG3" "WEEVIL25" "Merrilliodendron megacarpus" "merrme" "tree" NA NA 0.01686 NA 0.01686
"901" "w1g3p1" "P1" "WG3" "WEEVIL25" "Tournefortia sarmentosa" "toursa" "shrub" NA NA 0.02073 NA 0.02073
"902" "w1g3p1" "P1" "WG3" "WEEVIL25" "Smilax australis" "smilau" "vine" NA NA 0.0018 NA 0.0018
"903" "w1g3p2" "P2" "WG3" "WEEVIL125" "Piptrus argenteus" "piptar" "tree" 27.32 4.17 3.435 13.315 16.75
"904" "w1g3p2" "P2" "WG3" "WEEVIL125" "Melanolepis multiglandulosa" "melamu" "tree" 26.94 3.23 3.34 6.91 10.25
"905" "w1g3p2" "P2" "WG3" "WEEVIL125" "Ficus pachyrrhachis" "ficupa" "tree" 7.27 2.33 0.53 1.17 1.7
"906" "w1g3p2" "P2" "WG3" "WEEVIL125" "Homalanthus novoguineensis" "homano" "tree" 1.33 2.2 0.13953 0.25 0.38953
"907" "w1g3p2" "P2" "WG3" "WEEVIL125" "Imperata cyllindrica" "impecy" "grass" NA NA 3.79 NA 3.79
"908" "w1g3p2" "P2" "WG3" "WEEVIL125" "Mikania micrantha" "mikami" "vine" NA NA 7.73 NA 7.73
"909" "w1g3p2" "P2" "WG3" "WEEVIL125" "Ficus copiosa" "ficucp" "tree" 12.04 2.68 1.1 3.71 4.81
"910" "w1g3p2" "P2" "WG3" "WEEVIL125" "Synedrella nodiflora" "syneno" "herb" NA NA 3.995 NA 3.995
"911" "w1g3p2" "P2" "WG3" "WEEVIL125" "Piper aduncum" "pipead" "tree" NA NA 0.1167 0.11226 0.22896
"912" "w1g3p2" "P2" "WG3" "WEEVIL125" "Piper umbellatum" "pipeum" "tree" NA NA 0.05181 0.07532 0.12713
"913" "w1g3p2" "P2" "WG3" "WEEVIL125" "Stachytarpheta urticaefolia" "stacur" "herb" NA NA 0.08408 0.04459 0.12867
"914" "w1g3p2" "P2" "WG3" "WEEVIL125" "Hornstedtia lycostoma" "hornly" "herb" NA NA 0.04724 0.11163 0.15887
"915" "w1g3p2" "P2" "WG3" "WEEVIL125" "Trichospermum pleiostigma" "tricpl" "tree" NA NA 0.0316 0.06737 0.09897
"916" "w1g3p2" "P2" "WG3" "WEEVIL125" "Dendrocnide longifolia" "dendlo" "tree" NA NA 0.06032 0.03486 0.09518
"917" "w1g3p2" "P2" "WG3" "WEEVIL125" "Ageratum conyzoides" "agerco" "herb" NA NA 0.11357 NA 0.11357
"918" "w1g3p2" "P2" "WG3" "WEEVIL125" "Tournefortia sarmentosa" "toursa" "shrub" NA NA 0.03106 NA 0.03106
"919" "w1g3p2" "P2" "WG3" "WEEVIL125" "Sphaerostephanos altallus" "sphaal" "fern" NA NA 0.1367 NA 0.1367
"920" "w1g3p2" "P2" "WG3" "WEEVIL125" "Uncaria lanosa" "uncala" "vine" NA NA 0.02334 NA 0.02334
"921" "w1g3p2" "P2" "WG3" "WEEVIL125" "Marsdenia velutina" "marsve" "vine" NA NA 0.01923 NA 0.01923
"922" "w1g3p2" "P2" "WG3" "WEEVIL125" "Cyperus rotundus" "cyphro" "sedge" NA NA 0.06399 NA 0.06399
"923" "w1g3p2" "P2" "WG3" "WEEVIL125" "Breynia cernua" "breyce" "shrub" NA NA 0.0026 NA 0.0026
"924" "w1g3p3" "P3" "WG3" "CONTROL" "Piptrus argenteus" "piptar" "tree" 172.91 3.65 37.265 63.21 100.475
"925" "w1g3p3" "P3" "WG3" "CONTROL" "Melanolepis multiglandulosa" "melamu" "tree" 23.29 4.32 2.3 6.495 8.795
"926" "w1g3p3" "P3" "WG3" "CONTROL" "Piper umbellatum" "pipeum" "tree" NA NA 1.195 1.04 2.235
